,ID,DateTime,Type,Category,Description,IsCredit,IsDebit,Gross,Net,Balance,Unallocated,VAT
12,rps_lng-HDO22097082,2022-03-12T00:00:00+00:00,Invoice,Rent,Rent from 12/03/2022 to 11/04/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
13,rps_lng-HDO22110418,2022-03-15T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
14,rps_lng-HDO22113607,2022-04-12T00:00:00+01:00,Invoice,Rent,Rent from 12/04/2022 to 30/04/2022 for 35A Cameron Street,False,True,1343.64,1343.64,-1343.64,,
15,rps_lng-HDO22149980,2022-04-12T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,1343.64,1343.64,,,
16,rps_lng-HDO22162173,2022-05-01T00:00:00+01:00,Invoice,Rent,Rent from 01/05/2022 to 31/05/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
17,rps_lng-HDO22177932,2022-05-02T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
18,rps_lng-HDO22213552,2022-06-01T00:00:00+01:00,Invoice,Rent,Rent from 01/06/2022 to 30/06/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
19,rps_lng-HDO22223887,2022-06-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
20,rps_lng-HDO22256759,2022-07-01T00:00:00+01:00,Invoice,Rent,Rent from 01/07/2022 to 31/07/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
21,rps_lng-HDO22271965,2022-07-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
22,rps_lng-HDO22308667,2022-08-01T00:00:00+01:00,Invoice,Rent,Rent from 01/08/2022 to 31/08/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
23,rps_lng-HDO22318870,2022-08-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
24,rps_lng-HDO22358253,2022-09-01T00:00:00+01:00,Invoice,Rent,Rent from 01/09/2022 to 30/09/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
25,rps_lng-HDO22370329,2022-09-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
26,rps_lng-HDO22410376,2022-10-01T00:00:00+01:00,Invoice,Rent,Rent from 01/10/2022 to 31/10/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
27,rps_lng-HDO22426905,2022-10-03T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
28,rps_lng-HDO22461250,2022-11-01T00:00:00+00:00,Invoice,Rent,Rent from 01/11/2022 to 30/11/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
29,rps_lng-HDO22474865,2022-11-02T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
30,rps_lng-HDO22510171,2022-12-01T00:00:00+00:00,Invoice,Rent,Rent from 01/12/2022 to 31/12/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
31,rps_lng-HDO22520556,2022-12-01T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
32,rps_lng-HDO22553215,2023-01-01T00:00:00+00:00,Invoice,Rent,Rent from 01/01/2023 to 31/01/2023 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
33,rps_lng-HDO23004579,2023-01-03T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
34,rps_lng-HDO23049909,2023-02-01T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,2151.0,,
35,rps_lng-HDO23038869,2023-02-01T00:00:00+00:00,Invoice,Rent,Rent from 01/02/2023 to 28/02/2023 for 35A Cameron Street,False,True,2151.0,2151.0,,,
36,rps_lng-HDO23052502,2023-02-03T00:00:00+00:00,Invoice,Tenant Admin Fee,Dishonour Fee,False,True,25.0,25.0,-25.0,25.0,
37,rps_lng-HDO23052501,2023-02-03T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 35ACAMERONSTREET,False,True,2151.0,2151.0,-2176.0,,
