property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_[fee id]
rps_lng-HDO160035,rps_lng-RPT160035, Residential_House ,,20,Stoneleigh Circuit,,Williams Landing,Vic,3027,4,2,0,,0,,,2023-03-08T12:08:46+00:00,,rntinc,,429.8959,Monthly,,,,,
rps_lng-HDO160048,rps_lng-RPT120096, Residential_House ,,71,Longtree Drive,,Harkness,VIC,3337,4,0,0,,0,,,2023-07-20T12:31:14+01:00,,rntinc,,380.1863,Monthly,,,,,
rps_lng-HDO160061,rps_lng-RPT160061, Residential_Apartment ,9,2-10,Monckton Place,,Caroline Springs,Vic,3023,2,1,1,,0,2021-05-24T16:55:47+01:00,,2023-07-24T13:43:42+01:00,,rntinc,,385.02,Weekly,,,,,
rps_lng-HDO170001,rps_lng-RPT170001, Residential_House ,,13,Washington Street,,St Albans,Vic,3021,3,1,1,,0,,,2023-06-15T15:10:13+01:00,,rntinc,,320.0,Weekly,,,,,
rps_lng-HDO170004,rps_lng-RPT170004, Residential_House ,,32,Boronia Avenue,,Wallan,Vic,3756,3,2,1,,0,,,2023-03-01T16:30:21+00:00,,rntinc,,385.0192,Monthly,,,,,
rps_lng-HDO170008,rps_lng-RPT170007, Residential_House ,,44,Boronia Avenue,,Wallan,Vic,3756,3,2,2,,0,,,2023-03-10T16:12:09+00:00,,rntinc,,385.0192,Monthly,,,,,
rps_lng-HDO170011,rps_lng-RPT170010, Residential_House ,,3,Norwood Avenue,,Weir Views,VIC,3338,4,2,1,,0,,,2023-05-03T10:28:21+01:00,,rntinc,,329.79,Monthly,,,,,
rps_lng-HDO170020,rps_lng-RPT170019, Residential_House ,,9,Norwood Avenue,,Weir Views,Vic,3338,4,0,0,,0,,,2023-07-03T15:31:40+01:00,,rntinc,,359.93,Weekly,,,,,
rps_lng-HDO170028,rps_lng-RPT170027, Residential_Apartment ,1,6,Maude Avenue,,Glenroy,VIC,3046,3,2,1,,0,,,2023-05-10T11:41:55+01:00,,rntinc,,490.0,Weekly,,,,,
rps_lng-HDO180001,rps_lng-RPT180001, Residential_House ,2,41,Latham Street,,Werribee,VIC,3030,2,2,1,,0,,,2023-07-20T11:21:23+01:00,,rntinc,,359.9342,Monthly,,,,,
rps_lng-HDO180003,rps_lng-RPT180003, Residential_Townhouse ,,55,Crefden Street,,Maidstone,VIC,3012,3,3,1,,0,,,2023-05-31T17:11:05+01:00,,rntinc,,509.9836,Monthly,,,,,
rps_lng-HDO180012,rps_lng-RPT180012, Residential_House ,,6,Hidden Valley Drive,,Tarneit,Vic,3029,4,2,2,,0,,,2023-07-13T09:43:59+01:00,,rntinc,,410.1041,Weekly,,,,,
rps_lng-HDO180028,rps_lng-RPT180027, Residential_House ,,9,Pascoe Court,,Melton South,VIC,3337,4,2,2,,0,,,2022-09-05T20:57:10+01:00,,rntinc,,398.5973,Monthly,,,,,
rps_lng-HDO180030,rps_lng-RPT180029, Residential_House ,,28,Fellows Street,,Melton South,VIC,3338,4,2,1,,0,,,2023-01-20T10:05:10+00:00,,rntinc,,335.0795,Monthly,,,,,
rps_lng-HDO190007,rps_lng-RPT190007, Residential_House ,,17,Stoneyfell Road,,Point Cook,VIC,3030,4,2,2,,0,,,2022-12-22T17:01:51+00:00,,rntinc,,374.999,Monthly,,,,,
rps_lng-HDO190063,rps_lng-RPT190063, Residential_House ,,57,Rowan Drive,,Kealba,Vic,3021,4,3,2,,0,,,2022-09-05T19:34:26+01:00,,rntinc,,440.0219,Weekly,,,,,
rps_lng-HDO190066,rps_lng-RPT190066, Residential_Apartment ,G21,9,Hewitt Avenue,,Footscray,Vic,3011,1,1,1,,0,,,2023-01-09T15:14:11+00:00,,rntinc,,325.0,Weekly,,,,,
rps_lng-HDO190067,rps_lng-RPT190067, Residential_House ,,64,Brownlow Drive,,Point Cook,VIC,3030,4,2,2,,0,,,2022-12-30T10:37:46+00:00,,rntinc,,460.0438,Monthly,,,,,
rps_lng-HDO190070,rps_lng-RPT190070, Residential_Apartment ,109,9,Hewitt Avenue,,Footscray,Vic,3011,2,2,1,,0,,,2023-01-09T15:14:11+00:00,,rntinc,,420.0,Weekly,,,,,
rps_lng-HDO190075,rps_lng-RPT190075, Residential_House ,,15,Edge View,,Point Cook,Vic,3030,3,2,2,,0,2021-08-16T11:13:20+01:00,,2023-05-01T09:03:27+01:00,,rntinc,,390.0822,Monthly,,,,,
rps_lng-HDO190076,rps_lng-RPT190076, Residential_House ,,10,Eva Avenue,,Point Cook,Vic,3030,4,2,2,,0,,,2023-05-10T12:30:36+01:00,,rntinc,,449.9178,Weekly,,,,,
rps_lng-HDO190083,rps_lng-RPT190083, Residential_Apartment ,H106,50-56,High Street,,Preston,Vic,3072,2,1,0,,0,,,2022-09-05T20:50:31+01:00,,rntinc,,382.0274,Weekly,,,,,
rps_lng-HDO190091,rps_lng-RPT190091, Residential_Apartment ,201,9,Hewitt Avenue,,Footscray,Vic,3011,2,1,1,,0,2020-08-28T12:01:39+01:00,,2023-02-22T11:09:18+00:00,,rntinc,,449.9178,Monthly,,,,,
rps_lng-HDO190115,rps_lng-RPT190115, Residential_House ,,40,Conquest Drive,,Werribee,VIC,3030,3,2,1,,0,,,2023-06-01T07:59:46+01:00,,rntinc,,449.9178,Monthly,,,,,
rps_lng-HDO190122,rps_lng-RPT190122, Residential_House ,,8,Vacation Way,,Point Cook,Vic,3030,4,2,2,,0,,,2022-09-21T14:40:47+01:00,,rntinc,,413.7863,Monthly,,,,,
rps_lng-HDO190126,rps_lng-RPT190126, Residential_House ,,3,Sundial Boulevard,,Tarneit,VIC,3029,4,0,0,,0,2020-03-06T10:01:24+00:00,,2023-04-21T10:47:09+01:00,,rntinc,,550.0274,Monthly,,,,,
rps_lng-HDO190133,rps_lng-RPT190133, Residential_Apartment ,G17,9,Hewitt Avenue,,Footscray,VIC,3011,1,0,0,,0,,,2023-02-07T22:16:27+00:00,,rntinc,,340.0,Weekly,,,,,
rps_lng-HDO190134,rps_lng-RPT190134, Residential_Apartment ,117,9,Hewitt Avenue,,Footscray,Vic,3011,2,1,1,,0,,,2023-01-09T15:14:11+00:00,,rntinc,,425.0,Weekly,,,,,
rps_lng-HDO190140,rps_lng-RPT190140, Residential_House ,,4,Calita Avenue,,Tarneit,Vic,3029,4,2,2,,0,,,2023-06-16T14:42:36+01:00,,rntinc,,375.0,Weekly,,,,,
rps_lng-HDO190172,rps_lng-RPT190172, Residential_House ,,18,Stoneyfell Road,,Point Cook,Vic,3030,4,2,2,,0,2021-03-19T14:08:37+00:00,,2023-07-19T17:36:11+01:00,,rntinc,,520.1096,Monthly,,,,,
rps_lng-HDO190173,rps_lng-RPT190173, Residential_House ,,24,Monarma Walk,,Kealba,Vic,3021,4,2,2,,0,2019-06-12T13:23:33+01:00,,2023-06-13T16:09:33+01:00,,rntinc,,500.0877,Monthly,,,,,
rps_lng-HDO190174,rps_lng-RPT190174, Residential_House ,,51,Rowan Drive,,Kealba,Vic,3021,0,0,0,,0,,,2022-06-09T08:59:50+01:00,,rntinc,,380.1863,Weekly,,,,,
rps_lng-HDO190175,rps_lng-RPT190115, Residential_House ,,2,Blossom Lane,,Werribee,VIC,3030,3,2,1,,0,,,2023-05-17T12:38:09+01:00,,rntinc,,399.98,Weekly,,,,,
rps_lng-HDO190182,rps_lng-RPT190182, Residential_Apartment ,316,9,Hewitt Avenue,,Footscray,Vic,3011,2,1,1,,0,2019-03-19T11:37:49+00:00,,2023-01-09T15:14:11+00:00,,rntinc,,385.0,Weekly,,,,,
rps_lng-HDO190184,rps_lng-RPT190172, Residential_House ,,142,Sandhurst Boulevard,,Sandhurst,Vic,3977,4,2,2,,0,,,2022-09-26T09:33:13+01:00,,rntinc,,680.0548,Monthly,,,,,
rps_lng-HDO190201,rps_lng-RPT190172, Residential_House ,,56,Hemsley Drive,,Deer Park,Vic,3023,4,2,2,,0,,,2023-02-09T10:14:45+00:00,,rntinc,,385.0192,Weekly,,,,,
rps_lng-HDO190208,rps_lng-RPT190208, Residential_Apartment ,207,9,Hewitt Avenue,,Footscray,Vic,3011,0,0,0,,0,,,2023-01-09T15:14:11+00:00,,rntinc,,379.9562,Monthly,,,,,
rps_lng-HDO190214,rps_lng-RPT190172, Residential_House ,,20,Stoneyfell Road,,Point Cook,Vic,3030,4,2,2,,0,2019-06-13T12:51:53+01:00,,2023-05-22T22:54:54+01:00,,rntinc,,395.1452,Weekly,,,,,
rps_lng-HDO190229,rps_lng-RPT190229, Residential_Apartment ,G15,9,Hewitt Avenue,,Footscray,Vic,3011,1,1,1,,0,,,2023-01-09T15:14:11+00:00,,rntinc,,375.0,Weekly,,,,,
rps_lng-HDO190264,rps_lng-RPT190194, Residential_House ,,10,Lakewood Boulevard,,Melton,Vic,3337,3,2,2,,0,,,2023-07-13T12:14:26+01:00,,rntinc,,370.0603,Monthly,,,,,
rps_lng-HDO190265,rps_lng-RPT190265, Residential_Apartment ,319,9,Hewitt Avenue,,Footscray,Vic,3011,2,1,1,,0,,,2023-01-30T12:15:07+00:00,,rntinc,,375.0,Weekly,,,,,
