property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_1,fee_2,fee_3,fee_4,fee_5,fee_6,fee_7,Property Manager
rps_lng-HDO160024,rps_lng-RPT160024, Residential_  ,,16,Kurrali Crescent,,Werribee,Vic,3030,3,2,1,,0,1999-01-01,,2022-10-31T12:36:32+00:00,,100005,,320.0,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO160035,rps_lng-RPT160035, Residential_  ,,20,Stoneleigh Circuit,,Williams Landing,Vic,3027,4,2,0,,0,1999-01-01,,2023-03-08T12:08:46+00:00,,100005,,429.9,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO160048,rps_lng-RPT120096, Residential_  ,,71,Longtree Drive,,Harkness,VIC,3337,4,0,0,,0,1999-01-01,,2023-07-20T12:31:14+01:00,,100005,,380.19,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO170001,rps_lng-RPT170001, Residential_  ,,13,Washington Street,,St Albans,Vic,3021,3,1,1,,0,1999-01-01,,2023-06-15T15:10:13+01:00,,100005,,320.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO170004,rps_lng-RPT170004, Residential_  ,,32,Boronia Avenue,,Wallan,Vic,3756,3,2,1,,0,1999-01-01,,2023-03-01T16:30:21+00:00,,100005,,385.02,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO170008,rps_lng-RPT170007, Residential_  ,,44,Boronia Avenue,,Wallan,Vic,3756,3,2,2,,0,1999-01-01,,2023-03-10T16:12:09+00:00,,100005,,385.02,Monthly,,,,,6.6,3.3,,,,,,Kasey Neuendorf
rps_lng-HDO170020,rps_lng-RPT170019, Residential_  ,,9,Norwood Avenue,,Weir Views,Vic,3338,4,0,0,,0,1999-01-01,,2023-08-08T11:49:30+01:00,,100005,,450.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO170028,rps_lng-RPT170027, Residential_  ,1,6,Maude Avenue,,Glenroy,VIC,3046,3,2,1,,0,1999-01-01,,2023-05-10T11:41:55+01:00,,100005,,490.0,Weekly,,,,,6.6,3.63,,,,,,Kasey Neuendorf
rps_lng-HDO170073,rps_lng-RPT170071, Residential_  ,707,240,Barkly Street,,Footscray,VIC,3011,2,1,1,,0,1999-01-01,,2023-06-15T10:14:11+01:00,,100005,,350.04,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO170074,rps_lng-RPT170072, Residential_  ,901,234-240,Barkly Street,,Footscray,VIC,3011,2,1,1,,0,1999-01-01,,2023-01-09T15:14:11+00:00,,100005,,395.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO170231,rps_lng-RPT170232, Residential_  ,604,165,Gladstone Street,,South Melbourne,VIC,3205,2,2,1,,0,1999-01-01,,2022-08-08T10:00:38+01:00,,100005,,599.97,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO170235,rps_lng-RPT170236, Residential_  ,106,109,Anderson Street,,Yarraville,VIC,3013,2,1,1,,0,1999-01-01,,2023-04-05T10:51:13+01:00,,100005,,520.11,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO180001,rps_lng-RPT180001, Residential_  ,2,41,Latham Street,,Werribee,VIC,3030,2,2,1,,0,1999-01-01,,2023-07-20T11:21:23+01:00,,100005,,359.93,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO180003,rps_lng-RPT180003, Residential_  ,,55,Crefden Street,,Maidstone,VIC,3012,3,3,1,,0,1999-01-01,,2023-05-31T17:11:05+01:00,,100005,,509.98,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO180012,rps_lng-RPT180012, Residential_  ,,6,Hidden Valley Drive,,Tarneit,Vic,3029,4,2,2,,0,1999-01-01,,2023-07-13T09:43:59+01:00,,100005,,410.1,Weekly,,,,,7.7,2.2,,,,,,Kasey Neuendorf
rps_lng-HDO180028,rps_lng-RPT180027, Residential_  ,,9,Pascoe Court,,Melton South,VIC,3337,4,2,2,,0,1999-01-01,,2022-09-05T20:57:10+01:00,,100005,,398.6,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO180030,rps_lng-RPT180029, Residential_  ,,28,Fellows Street,,Melton South,VIC,3338,4,2,1,,0,1999-01-01,,2023-01-20T10:05:10+00:00,,100005,,335.08,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO180055,rps_lng-RPT180054, Residential_  ,,71A,Rowan Drive,,Kealba,VIC,3020,2,1,2,,0,1999-01-01,,2022-06-02T15:01:05+01:00,,100005,,390.0,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO180135,rps_lng-RPT180139, Residential_  ,33,30,Leonard Crescent,,Ascot Vale,VIC,3032,2,2,0,,0,1999-01-01,,2023-01-18T10:21:48+00:00,,100005,,418.85,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO190007,rps_lng-RPT190007, Residential_  ,,17,Stoneyfell Road,,Point Cook,VIC,3030,4,2,2,,0,1999-01-01,,2022-12-22T17:01:51+00:00,,100005,,375.0,Monthly,,,,,,,,,,,,Kasey Neuendorf
